F-,C-,G-,D-,A-,E-,B-,F,C,G,D,A,E,B,F#,C#,G#,D#,A#,E#,B#
0.0,0.0,0.0,0.0,0.0,0.0,77.5,382.0,398.0,235.0,531.5,926.0,637.5,189.5,10.0,33.0,22.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,23.0,170.5,288.0,125.5,194.0,451.5,337.0,85.5,0.0,23.0,14.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,44.0,259.5,224.5,141.5,405.0,599.0,437.0,133.5,20.0,36.0,14.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,52.0,457.5,560.0,384.5,688.5,1077.0,777.5,221.0,38.5,83.0,52.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,75.0,693.0,846.0,609.5,1062.5,1438.5,999.0,323.5,61.0,110.0,48.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,77.0,378.0,378.0,252.0,490.0,823.0,493.0,164.0,19.0,58.0,20.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,44.0,152.0,108.0,74.0,243.0,369.0,195.0,48.0,5.0,39.0,10.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,180.0,275.0,233.0,123.0,84.0,92.0,45.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.5,391.5,629.5,499.0,296.5,238.5,213.5,78.0,10.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,10.0,321.5,723.0,938.0,790.0,498.0,423.0,363.5,102.0,31.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,195.5,338.5,626.5,469.0,347.5,250.5,250.5,53.0,14.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.5,178.0,237.0,140.0,124.0,93.5,61.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,38.0,215.0,437.5,759.5,746.0,458.0,359.0,257.0,62.0,27.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,34.0,531.0,832.0,1125.0,1158.0,1029.0,638.0,380.5,53.5,73.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,50.0,604.5,1203.5,1838.0,1679.5,1067.5,929.5,710.0,95.0,48.5,11.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,45.5,258.5,512.5,1066.0,1043.5,532.0,473.0,432.0,66.0,26.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,21.0,99.5,194.5,333.0,273.5,172.5,144.0,104.5,17.0,13.5,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,12.0,173.5,428.0,384.0,385.0,706.0,662.5,256.0,6.0,62.0,59.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,24.0,315.5,710.0,781.0,614.5,845.5,838.0,361.5,27.0,83.0,72.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,43.0,512.0,1051.0,1031.5,891.0,1353.0,1244.0,567.0,42.0,150.5,104.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,244.5,502.5,519.5,490.0,832.5,581.5,263.5,41.0,70.0,27.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,16.0,122.5,511.5,590.0,422.5,689.5,662.5,216.5,49.0,94.0,23.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,69.0,419.0,487.5,316.0,812.0,933.5,630.5,198.5,36.0,53.0,33.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,146.0,712.0,677.0,656.0,1225.0,1364.0,905.0,286.0,69.0,72.0,32.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,183.0,1017.0,1016.5,867.0,1736.0,1916.5,1241.0,448.0,121.0,122.0,58.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,94.0,580.0,529.0,445.0,896.0,946.0,601.0,186.0,56.0,57.0,24.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,22.0,199.0,280.0,214.0,392.0,429.0,257.0,76.0,43.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,54.0,442.5,437.0,428.5,1081.0,1129.0,533.5,177.5,75.5,21.5,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,181.0,751.0,643.5,594.0,1537.5,1536.5,769.0,196.5,45.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,143.0,1207.0,1090.0,805.0,1863.5,2689.5,1264.5,410.5,80.0,65.0,8.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,90.0,459.0,292.5,326.0,1000.5,972.0,500.0,126.5,41.0,62.5,14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,57.0,262.5,173.5,228.5,500.0,429.0,159.0,70.5,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,103.0,375.5,265.66666666666663,184.5,127.33333333333333,153.5,68.0,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,176.33333333333334,548.5,456.8333333333333,278.5,182.83333333333334,253.5,122.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,42.0,429.5,1042.0,930.5,557.5,420.5,483.5,254.5,42.5,14.5,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,222.0,543.5,470.0,335.0,248.5,308.0,166.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,70.0,235.0,180.0,88.0,85.0,120.0,55.0,9.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,13.0,76.0,80.0,111.5,271.25,278.5,124.25,37.5,52.5,42.0,9.5,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,56.0,222.5,252.0,286.5,464.0,501.0,212.0,60.0,74.0,54.0,8.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,54.0,346.0,391.5,364.0,645.5,763.75,391.5,126.25,101.5,99.5,23.5,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.5,60.5,51.0,58.5,191.5,227.0,101.0,28.0,34.0,19.0,8.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,47.0,37.0,37.0,157.0,160.0,53.0,14.5,28.0,14.5,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,88.5,79.0,70.0,248.0,318.0,148.5,26.0,44.0,54.0,9.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,39.0,238.0,279.8333333333333,272.6666666666667,387.5,460.6666666666667,283.8333333333333,90.0,57.5,44.5,14.5,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,98.0,362.5,354.0,355.5,738.0,939.5,504.5,125.0,116.0,114.0,44.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,31.0,189.0,129.33333333333334,126.0,319.33333333333337,417.83333333333337,224.0,48.0,44.0,65.5,14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,18.666666666666664,41.666666666666664,28.5,49.0,195.50000000000003,254.0,97.66666666666666,9.5,35.833333333333336,34.833333333333336,2.5,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,82.0,280.0,172.0,162.0,389.5,467.0,228.5,48.0,37.0,36.0,16.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,193.0,604.5,460.5,394.0,741.0,830.5,416.5,89.5,55.0,61.5,34.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,277.5,832.0,765.5,587.5,1075.5,1301.5,759.0,157.0,55.0,68.0,29.5,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,103.0,265.5,238.0,209.5,398.0,496.0,277.5,82.5,26.0,37.0,33.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,4.0,110.0,180.0,129.5,291.0,438.5,441.5,250.5,71.0,15.5,10.5,10.0,0.0,0.0,0.0,0.0,0.0
