F-,C-,G-,D-,A-,E-,B-,F,C,G,D,A,E,B,F#,C#,G#,D#,A#,E#,B#
0.0,0.0,0.0,0.0,0.0,8.0,959.0,1293.0,1311.0,1534.5,1483.0,1173.5,685.0,35.0,26.0,24.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,28.0,611.5,693.5,796.1666666666666,1126.6666666666667,1108.9999999999998,737.6666666666666,513.5,65.0,27.0,16.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,66.0,587.0,741.0,843.0,1168.0,936.0,690.0,431.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,12.0,86.0,325.5,522.0,775.0,682.0,422.0,286.0,161.5,40.0,10.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,137.0,682.0,770.0,1043.0,1022.0,617.0,518.0,165.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,4.0,52.5,453.5,610.5,987.5,830.0,746.0,436.0,290.0,47.0,19.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,42.0,55.0,53.0,58.0,438.0,699.0,876.0,781.0,517.0,380.0,196.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,95.0,203.0,522.0,295.0,213.0,155.0,154.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,278.0,516.0,720.0,514.5,455.5,296.5,259.5,56.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,26.0,423.0,843.0,1376.5,1064.5,844.5,494.0,650.5,92.0,8.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,305.0,591.5,1050.0,642.0,610.0,401.0,465.5,59.0,11.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,392.0,748.0,554.0,432.0,257.0,337.0,43.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,163.0,263.0,423.0,292.0,275.0,178.0,177.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,257.0,435.0,550.5,462.0,420.0,334.5,237.0,24.0,14.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.0,691.5,830.0,617.5,537.0,548.5,379.0,38.5,14.0,30.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,285.5,606.0,772.0,526.5,387.0,386.5,318.5,44.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,182.5,360.5,470.5,379.5,273.5,275.0,184.5,14.0,4.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,89.0,380.3333333333333,320.0,253.0,441.83333333333337,573.0,265.8333333333333,114.0,38.5,42.0,38.5,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,154.0,499.0,484.0,475.5,704.5,899.5,485.0,110.0,84.0,94.5,25.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,185.0,984.8333333333334,962.0,783.3333333333334,1159.5,1561.8333333333335,1009.0,291.0,95.0,111.5,59.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,90.0,309.3333333333333,330.0,293.5,580.0,598.0,350.6666666666667,93.0,50.0,41.5,14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,34.0,182.0,149.5,88.0,280.5,318.5,156.0,34.0,24.0,13.5,22.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,249.0,264.0,166.5,312.0,443.0,192.0,10.5,12.0,34.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,27.0,276.5,583.5,622.5,511.0,731.5,755.0,334.5,49.0,54.0,56.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,38.0,373.16666666666663,926.0,920.1666666666666,735.0,1132.0,1190.6666666666667,576.5,97.5,43.0,112.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,141.5,342.0,283.0,249.5,423.5,510.0,229.0,20.5,8.0,51.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,58.0,152.5,134.5,98.0,132.0,233.5,90.0,3.0,0.0,18.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,175.0,146.0,274.5,660.0,481.0,151.5,6.0,62.0,38.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,250.0,303.5,206.0,283.5,672.0,561.0,185.0,1.5,58.0,39.5,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,401.0,565.5,485.5,590.5,1156.5,951.0,366.5,19.0,95.5,65.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,178.5,160.0,113.5,253.5,561.5,445.5,125.0,3.0,60.5,25.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.5,184.0,117.5,230.0,534.0,402.5,127.5,2.0,38.0,34.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,13.0,240.5,649.0,774.5,507.0,323.0,329.0,215.0,32.0,9.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,309.5,906.0,940.5,650.0,416.5,478.0,340.0,39.5,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,588.0,1483.0,1482.0,936.5,721.0,843.0,560.5,48.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,375.5,877.0,852.0,609.0,490.0,525.5,319.0,32.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,315.5,821.5,739.0,478.5,359.5,480.5,233.5,16.0,0.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,100.0,288.0,270.5,291.0,612.5,738.0,518.0,117.0,29.0,34.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,123.0,424.0,377.0,372.0,824.5,1126.0,757.5,220.0,25.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,148.0,813.5,597.0,647.5,1396.0,1557.0,1117.0,291.0,46.0,92.0,32.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,151.0,438.0,382.0,334.0,773.0,1238.0,809.0,212.0,12.0,66.0,26.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,87.0,219.0,184.0,238.66666666666669,487.0,616.0,273.33333333333337,83.0,21.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,187.5,399.5,367.0,334.0,658.5,746.0,348.5,10.0,8.0,71.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.0,762.5,602.0,501.5,919.0,1080.0,429.0,11.0,8.0,79.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,25.0,567.0,1133.0,892.0,875.0,1491.0,1451.0,640.0,16.0,12.0,80.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,14.0,212.0,556.5,445.0,328.0,701.5,938.0,364.0,5.0,0.0,47.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,41.0,204.0,159.0,160.0,361.0,349.0,184.0,61.0,2.0,29.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,94.0,454.0,319.5,296.0,748.0,680.5,426.0,138.0,25.0,54.0,13.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,44.0,642.0,591.0,699.0,1280.0,990.0,582.0,354.0,16.0,67.0,23.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,41.0,512.5,347.0,322.5,570.0,643.0,347.0,151.0,1.0,39.0,14.0,0.0,0.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,52.0,227.0,90.0,116.0,380.0,189.0,118.0,13.0,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,191.5,611.5,560.5,322.5,247.0,320.0,184.0,18.0,0.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,374.83333333333337,1058.5,960.5,641.3333333333333,471.5,585.8333333333333,370.5,29.0,9.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,42.0,714.5,1621.0,1420.0,921.5,897.5,989.5,591.0,50.0,15.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,13.0,327.0,687.5,612.0,373.5,333.5,424.0,232.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,337.5,829.5,652.0,421.0,441.0,433.5,257.0,23.0,5.5,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,181.0,494.0,1065.0,577.0,465.0,416.0,334.0,38.0,6.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,325.5,907.0,1417.5,846.5,667.0,617.5,478.0,50.0,4.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,23.0,442.66666666666663,1202.0,1894.8333333333335,1108.5,808.9999999999999,847.8333333333334,686.6666666666667,37.5,2.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,204.33333333333331,603.1666666666666,1007.0000000000001,575.9999999999999,391.83333333333337,382.3333333333333,340.6666666666667,28.666666666666664,4.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,16.0,169.0,402.0,707.0,463.0,341.0,267.0,211.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,193.0,515.0,662.0,443.0,302.5,293.0,200.5,4.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5.0,346.0,693.0,899.0,799.0,523.0,396.0,318.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.5,885.0,1265.5,1102.5,817.0,598.5,503.0,20.0,14.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4.0,276.0,557.0,914.0,535.0,352.0,384.0,310.0,18.0,4.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,285.0,514.0,700.0,575.0,446.0,305.0,297.0,10.0,4.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,136.0,418.0,391.0,171.5,147.0,243.0,119.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,202.0,759.0,664.0,269.0,198.0,406.0,163.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,7.0,241.5,696.0,615.0,325.0,231.5,336.0,162.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,144.5,460.0,471.5,206.5,149.5,228.5,121.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,55.0,186.0,171.0,125.0,367.0,351.0,164.0,35.0,4.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0
