G# in CRIM_Mass_0008_4, m. 100, b. 4.0
G# in CRIM_Mass_0008_4, m. 108, b. 4.0
G# in CRIM_Mass_0008_4, m. 30, b. 4.0
G# in CRIM_Mass_0012_2, m. 104, b. 2.0
A- in CRIM_Mass_0013_1, m. 56, b. 1.0
A- in CRIM_Mass_0013_1, m. 54, b. 1.0
A- in CRIM_Mass_0013_1, m. 56, b. 1.0
A- in CRIM_Mass_0013_1, m. 63, b. 1.0
G# in CRIM_Mass_0017_4, m. 145, b. 4.0
G# in CRIM_Mass_0017_4, m. 142, b. 2.0
A- in CRIM_Mass_0017_5, m. 56, b. 3.0
A- in CRIM_Mass_0017_5, m. 57, b. 3.0
A- in CRIM_Mass_0017_5, m. 58, b. 1.0
A- in CRIM_Mass_0017_5, m. 71, b. 3.0
A- in CRIM_Mass_0017_5, m. 72, b. 1.0
A- in CRIM_Mass_0017_5, m. 73, b. 1.0
A- in CRIM_Mass_0017_5, m. 56, b. 3.0
A- in CRIM_Mass_0017_5, m. 57, b. 1.0
D- in CRIM_Mass_0017_5, m. 57, b. 3.0
A- in CRIM_Mass_0017_5, m. 72, b. 1.0
D- in CRIM_Mass_0017_5, m. 74, b. 1.0
A- in CRIM_Mass_0017_5, m. 56, b. 4.5
A- in CRIM_Mass_0017_5, m. 57, b. 1.0
A- in CRIM_Mass_0017_5, m. 71, b. 4.5
A- in CRIM_Mass_0017_5, m. 72, b. 1.0
A- in CRIM_Mass_0017_5, m. 74, b. 1.0
D- in CRIM_Mass_0017_5, m. 57, b. 3.0
D- in CRIM_Mass_0017_5, m. 72, b. 3.0
D- in CRIM_Mass_0017_5, m. 74, b. 1.0
A- in CRIM_Mass_0017_5, m. 56, b. 1.0
D- in CRIM_Mass_0017_5, m. 57, b. 1.0
A- in CRIM_Mass_0017_5, m. 71, b. 2.5
A- in CRIM_Mass_0017_5, m. 71, b. 3.0
D- in CRIM_Mass_0017_5, m. 72, b. 1.0
G# in CRIM_Mass_0018_4, m. 55, b. 3.0
G# in CRIM_Mass_0019_2, m. 67, b. 4.0
G# in CRIM_Mass_0019_3, m. 141, b. 4.0
G# in CRIM_Mass_0019_3, m. 143, b. 1.0
G# in CRIM_Mass_0019_3, m. 146, b. 4.0
G# in CRIM_Mass_0019_3, m. 28, b. 4.0
G# in CRIM_Mass_0019_3, m. 43, b. 1.0
G# in CRIM_Mass_0019_3, m. 43, b. 2.0
G# in CRIM_Mass_0019_3, m. 43, b. 3.0
G# in CRIM_Mass_0019_3, m. 43, b. 4.0
G# in CRIM_Mass_0019_3, m. 62, b. 4.0
G# in CRIM_Mass_0019_3, m. 104, b. 2.0
G# in CRIM_Mass_0019_3, m. 113, b. 4.0
G# in CRIM_Mass_0019_3, m. 145, b. 3.0
G# in CRIM_Mass_0019_3, m. 25, b. 2.0
G# in CRIM_Mass_0019_4, m. 32, b. 2.0
G# in CRIM_Mass_0019_5, m. 25, b. 4.0
G# in CRIM_Mass_0021_1, m. 12, b. 1.5
G# in CRIM_Mass_0021_1, m. 12, b. 2.0
G# in CRIM_Mass_0021_1, m. 18, b. 1.0
G# in CRIM_Mass_0021_1, m. 31, b. 3.5
G# in CRIM_Mass_0021_1, m. 31, b. 4.0
G# in CRIM_Mass_0021_1, m. 4, b. 1.5
G# in CRIM_Mass_0021_1, m. 4, b. 2.0
G# in CRIM_Mass_0021_1, m. 53, b. 1.0
G# in CRIM_Mass_0021_1, m. 28, b. 1.5
G# in CRIM_Mass_0021_1, m. 28, b. 2.0
G# in CRIM_Mass_0021_2, m. 10, b. 4.0
G# in CRIM_Mass_0021_2, m. 26, b. 4.0
G# in CRIM_Mass_0021_2, m. 43, b. 1.5
G# in CRIM_Mass_0021_2, m. 43, b. 2.0
G# in CRIM_Mass_0021_2, m. 47, b. 1.0
G# in CRIM_Mass_0021_2, m. 59, b. 1.5
G# in CRIM_Mass_0021_2, m. 59, b. 2.0
G# in CRIM_Mass_0021_2, m. 65, b. 3.5
